iteration=1
( C, 2, 1, D, 25):SHOOT=[15.000]
( N, 2, 1, R, 25):CRAFT=[-10.000]
( N, 2, 1, D, 25):STAY=[-6.800]
( E, 2, 1, R, 25):SHOOT=[-7.500]
( E, 2, 1, D, 25):SHOOT=[35.000]
( S, 2, 1, R, 25):STAY=[-4.250]
( S, 2, 1, D, 25):STAY=[0.000]
( W, 2, 1, R, 25):SHOOT=[2.500]
( W, 2, 1, D, 25):SHOOT=[2.500]
( C, 0, 2, R, 25):SHOOT=[-17.500]
( C, 0, 2, D, 25):SHOOT=[15.000]
( N, 0, 2, R, 25):STAY=[-10.000]
( N, 0, 2, D, 25):STAY=[-6.800]
( E, 0, 2, R, 25):SHOOT=[-7.500]
( E, 0, 2, D, 25):SHOOT=[35.000]
( S, 0, 2, R, 25):STAY=[-4.250]
( S, 0, 2, D, 25):STAY=[0.000]
( W, 0, 2, R, 25):SHOOT=[2.500]
( W, 0, 2, D, 25):SHOOT=[2.500]
( C, 1, 2, R, 25):SHOOT=[-17.500]
( C, 1, 2, D, 25):SHOOT=[15.000]
( N, 1, 2, R, 25):CRAFT=[-10.000]
( N, 1, 2, D, 25):STAY=[-6.800]
( E, 1, 2, R, 25):SHOOT=[-7.500]
( E, 1, 2, D, 25):SHOOT=[35.000]
( S, 1, 2, R, 25):STAY=[-4.250]
( S, 1, 2, D, 25):STAY=[0.000]
( W, 1, 2, R, 25):SHOOT=[2.500]
( W, 1, 2, D, 25):SHOOT=[2.500]
( C, 2, 2, R, 25):SHOOT=[-17.500]
( C, 2, 2, D, 25):SHOOT=[15.000]
( N, 2, 2, R, 25):CRAFT=[-10.000]
( N, 2, 2, D, 25):STAY=[-6.800]
( E, 2, 2, R, 25):SHOOT=[-7.500]
( E, 2, 2, D, 25):SHOOT=[35.000]
( S, 2, 2, R, 25):STAY=[-4.250]
( S, 2, 2, D, 25):STAY=[0.000]
( W, 2, 2, R, 25):SHOOT=[2.500]
( W, 2, 2, D, 25):SHOOT=[2.500]
( C, 0, 3, R, 25):SHOOT=[-17.500]
( C, 0, 3, D, 25):SHOOT=[15.000]
( N, 0, 3, R, 25):STAY=[-10.000]
( N, 0, 3, D, 25):STAY=[-6.800]
( E, 0, 3, R, 25):SHOOT=[-7.500]
( E, 0, 3, D, 25):SHOOT=[35.000]
( S, 0, 3, R, 25):STAY=[-4.250]
( S, 0, 3, D, 25):STAY=[0.000]
( W, 0, 3, R, 25):SHOOT=[2.500]
( W, 0, 3, D, 25):SHOOT=[2.500]
( C, 1, 3, R, 25):SHOOT=[-17.500]
( C, 1, 3, D, 25):SHOOT=[15.000]
( N, 1, 3, R, 25):CRAFT=[-10.000]
( N, 1, 3, D, 25):STAY=[-6.800]
( E, 1, 3, R, 25):SHOOT=[-7.500]
( E, 1, 3, D, 25):SHOOT=[35.000]
( S, 1, 3, R, 25):STAY=[-4.250]
( S, 1, 3, D, 25):STAY=[0.000]
( W, 1, 3, R, 25):SHOOT=[2.500]
( W, 1, 3, D, 25):SHOOT=[2.500]
( C, 2, 3, R, 25):SHOOT=[-17.500]
( C, 2, 3, D, 25):SHOOT=[15.000]
( N, 2, 3, R, 25):CRAFT=[-10.000]
( N, 2, 3, D, 25):STAY=[-6.800]
( E, 2, 3, R, 25):SHOOT=[-7.500]
( E, 2, 3, D, 25):SHOOT=[35.000]
( S, 2, 3, R, 25):STAY=[-4.250]
( S, 2, 3, D, 25):STAY=[0.000]
( W, 2, 3, R, 25):SHOOT=[2.500]
( W, 2, 3, D, 25):SHOOT=[2.500]
( C, 0, 0, R, 50):STAY=[-24.250]
( C, 0, 0, D, 50):STAY=[0.000]
( N, 0, 0, R, 50):STAY=[-10.000]
( N, 0, 0, D, 50):STAY=[-6.800]
( E, 0, 0, R, 50):STAY=[-20.000]
( E, 0, 0, D, 50):HIT=[0.000]
